state,year,pdf_link,doc_name,doc_number,scraped_at
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/02072024final.pdf,"February 7, 2024",,2025-11-22T18:11:44.275703
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/01172024final.pdf,"January 17, 2024",,2025-11-22T18:11:44.275703
SD,2023.0,https://apps.sd.gov/HC65C2C/EBS/lettings/12132023final.pdf,"December 13, 2023",,2025-11-22T18:11:44.275703
SD,2023.0,https://apps.sd.gov/HC65C2C/EBS/lettings/12062023final.pdf,"December 6, 2023",,2025-11-22T18:11:44.275703
SD,2023.0,https://apps.sd.gov/HC65C2C/EBS/lettings/11152023final.pdf,"November 15, 2023",,2025-11-22T18:11:44.275703
SD,2023.0,https://apps.sd.gov/HC65C2C/EBS/lettings/11082023final.pdf,"November 8, 2023",,2025-11-22T18:11:44.275703
SD,2023.0,https://apps.sd.gov/HC65C2C/EBS/lettings/11012023final.pdf,"November 1, 2023",,2025-11-22T18:11:44.275703
SD,2023.0,https://apps.sd.gov/HC65C2C/EBS/lettings/10182023final.pdf,"October 18, 2023",,2025-11-22T18:11:44.275703
SD,2023.0,https://apps.sd.gov/HC65C2C/EBS/lettings/10042023final.pdf,"October 4, 2023",,2025-11-22T18:11:44.275703
SD,2023.0,https://apps.sd.gov/HC65C2C/EBS/lettings/09202023final.pdf,"September 20, 2023",,2025-11-22T18:11:44.275703
SD,2023.0,https://apps.sd.gov/HC65C2C/EBS/lettings/09062023final.pdf,"September 6, 2023",,2025-11-22T18:11:44.275703
SD,2023.0,https://apps.sd.gov/HC65C2C/EBS/lettings/08162023final.pdf,"August 16, 2023",,2025-11-22T18:11:44.275703
SD,2023.0,https://apps.sd.gov/HC65C2C/EBS/lettings/08102023final.pdf,"August 10, 2023",,2025-11-22T18:11:44.275703
SD,2023.0,https://apps.sd.gov/HC65C2C/EBS/lettings/07192023final.pdf,"July 19, 2023",,2025-11-22T18:11:44.275703
SD,2023.0,https://apps.sd.gov/HC65C2C/EBS/lettings/06212023final.pdf,"June 21, 2023",,2025-11-22T18:11:44.275703
SD,2023.0,https://apps.sd.gov/HC65C2C/EBS/lettings/06072023final.pdf,"June 7, 2023",,2025-11-22T18:11:44.275703
SD,2023.0,https://apps.sd.gov/HC65C2C/EBS/lettings/05172023final.pdf,"May 17, 2023",,2025-11-22T18:11:44.275703
SD,2023.0,https://apps.sd.gov/HC65C2C/EBS/lettings/05032023final.pdf,"May 3, 2023",,2025-11-22T18:11:44.275703
SD,2023.0,https://apps.sd.gov/HC65C2C/EBS/lettings/04192023final.pdf,"April 19, 2023",,2025-11-22T18:11:44.275703
SD,2023.0,https://apps.sd.gov/HC65C2C/EBS/lettings/04052023final.pdf,"April 5, 2023",,2025-11-22T18:11:44.275703
SD,2023.0,https://apps.sd.gov/HC65C2C/EBS/lettings/03222023final.pdf,"March 22, 2023",,2025-11-22T18:11:44.275703
SD,2023.0,https://apps.sd.gov/HC65C2C/EBS/lettings/03012023final.pdf,"March 1, 2023",,2025-11-22T18:11:44.275703
SD,2023.0,https://apps.sd.gov/HC65C2C/EBS/lettings/02152023final.pdf,"February, 15 2023",,2025-11-22T18:11:44.275703
SD,2023.0,https://apps.sd.gov/HC65C2C/EBS/lettings/02012023final.pdf,"Februray 1, 2023",,2025-11-22T18:11:44.275703
SD,2023.0,https://apps.sd.gov/HC65C2C/EBS/lettings/01112023final.pdf,"January 11, 2023",,2025-11-22T18:11:44.275703
SD,2022.0,https://apps.sd.gov/HC65C2C/EBS/lettings/12142022final.pdf,"December 14, 2022",,2025-11-22T18:11:44.275703
SD,2022.0,https://apps.sd.gov/HC65C2C/EBS/lettings/12072022final.pdf,"December 7, 2022",,2025-11-22T18:11:44.275703
SD,2022.0,https://apps.sd.gov/HC65C2C/EBS/lettings/11162022final.pdf,"November 16, 2022",,2025-11-22T18:11:44.275703
SD,2022.0,https://apps.sd.gov/HC65C2C/EBS/lettings/11022022final.pdf,"November 2, 2022",,2025-11-22T18:11:44.275703
SD,2022.0,https://apps.sd.gov/HC65C2C/EBS/lettings/10212022final.pdf,"October 21, 2022",,2025-11-22T18:11:44.275703
SD,2022.0,https://apps.sd.gov/HC65C2C/EBS/lettings/10192022final.pdf,"October 19, 2022",,2025-11-22T18:11:44.275703
SD,2022.0,https://apps.sd.gov/HC65C2C/EBS/lettings/10052022final.pdf,"October 5, 2022",,2025-11-22T18:11:44.275703
SD,2022.0,https://apps.sd.gov/HC65C2C/EBS/lettings/09212022final.pdf,"September 21, 2022",,2025-11-22T18:11:44.275703
SD,2022.0,https://apps.sd.gov/HC65C2C/EBS/lettings/09072022final.pdf,"September 7, 2022",,2025-11-22T18:11:44.275703
SD,2022.0,https://apps.sd.gov/HC65C2C/EBS/lettings/08172022final.pdf,"August 17, 2022",,2025-11-22T18:11:44.275703
SD,2022.0,https://apps.sd.gov/HC65C2C/EBS/lettings/07202022final.pdf,"July 20, 2022",,2025-11-22T18:11:44.275703
SD,2022.0,https://apps.sd.gov/HC65C2C/EBS/lettings/06152022final.pdf,"June 15, 2022",,2025-11-22T18:11:44.275703
SD,2022.0,https://apps.sd.gov/HC65C2C/EBS/lettings/06012022final.pdf,"June 1, 2022",,2025-11-22T18:11:44.275703
SD,2022.0,https://apps.sd.gov/HC65C2C/EBS/lettings/05182022final.pdf,"May 18, 2022",,2025-11-22T18:11:44.275703
SD,2022.0,https://apps.sd.gov/HC65C2C/EBS/lettings/05112022final.pdf,"May 11, 2022",,2025-11-22T18:11:44.275703
SD,2022.0,https://apps.sd.gov/HC65C2C/EBS/lettings/05042022final.pdf,"May 4, 2022",,2025-11-22T18:11:44.275703
SD,2022.0,https://apps.sd.gov/HC65C2C/EBS/lettings/04202022final.pdf,"April 20, 2022",,2025-11-22T18:11:44.275703
SD,2022.0,https://apps.sd.gov/HC65C2C/EBS/lettings/04062022final.pdf,"April 6, 2022",,2025-11-22T18:11:44.275703
SD,2022.0,https://apps.sd.gov/HC65C2C/EBS/lettings/03162022final.pdf,"March 16, 2022",,2025-11-22T18:11:44.275703
SD,2022.0,https://apps.sd.gov/HC65C2C/EBS/lettings/03022022final.pdf,"March 2, 2022",,2025-11-22T18:11:44.275703
SD,2022.0,https://apps.sd.gov/HC65C2C/EBS/lettings/02162022final.pdf,"February 16, 2022",,2025-11-22T18:11:44.275703
SD,2022.0,https://apps.sd.gov/HC65C2C/EBS/lettings/02022022final.pdf,"February 2, 2022",,2025-11-22T18:11:44.275703
SD,2022.0,https://apps.sd.gov/HC65C2C/EBS/lettings/01192022final.pdf,"January 19, 2022",,2025-11-22T18:11:44.275703
SD,2021.0,https://apps.sd.gov/HC65C2C/EBS/lettings/12152021final.pdf,"December 15, 2021",,2025-11-22T18:11:44.275703
SD,2021.0,https://apps.sd.gov/HC65C2C/EBS/lettings/12012021final.pdf,"December 1, 2021",,2025-11-22T18:11:44.275703
SD,2021.0,https://apps.sd.gov/HC65C2C/EBS/lettings/11172021final.pdf,"November 17, 2021",,2025-11-22T18:11:44.275703
SD,2021.0,https://apps.sd.gov/HC65C2C/EBS/lettings/11032021final.pdf,"November 3, 2021",,2025-11-22T18:11:44.275703
SD,2021.0,https://apps.sd.gov/HC65C2C/EBS/lettings/10202021final.pdf,"October 20, 2021",,2025-11-22T18:11:44.275703
SD,2021.0,https://apps.sd.gov/HC65C2C/EBS/lettings/10062021final.pdf,"October 6, 2021",,2025-11-22T18:11:44.275703
SD,2021.0,https://apps.sd.gov/HC65C2C/EBS/lettings/09152021final.pdf,"September 15, 2021",,2025-11-22T18:11:44.275703
SD,2021.0,https://apps.sd.gov/HC65C2C/EBS/lettings/09012021final.pdf,"September 1, 2021",,2025-11-22T18:11:44.275703
SD,2021.0,https://apps.sd.gov/HC65C2C/EBS/lettings/08182021final.pdf,"August 18, 2021",,2025-11-22T18:11:44.275703
SD,2021.0,https://apps.sd.gov/HC65C2C/EBS/lettings/07212021final.pdf,"July 21, 2021",,2025-11-22T18:11:44.275703
SD,2021.0,https://apps.sd.gov/HC65C2C/EBS/lettings/06162021final.pdf,"June 16, 2021",,2025-11-22T18:11:44.275703
SD,2021.0,https://apps.sd.gov/HC65C2C/EBS/lettings/06022021final.pdf,"June 2, 2021",,2025-11-22T18:11:44.275703
SD,2021.0,https://apps.sd.gov/HC65C2C/EBS/lettings/05192021final.pdf,"May 19, 2021",,2025-11-22T18:11:44.275703
SD,2021.0,https://apps.sd.gov/HC65C2C/EBS/lettings/05052021final.pdf,"May 5, 2021",,2025-11-22T18:11:44.275703
SD,2021.0,https://apps.sd.gov/HC65C2C/EBS/lettings/04212021final.pdf,"April 21, 2021",,2025-11-22T18:11:44.275703
SD,2021.0,https://apps.sd.gov/HC65C2C/EBS/lettings/04142021final.pdf,"April 14, 2021",,2025-11-22T18:11:44.275703
SD,2021.0,https://apps.sd.gov/HC65C2C/EBS/lettings/03172021final.pdf,"March 17, 2021",,2025-11-22T18:11:44.275703
SD,2021.0,https://apps.sd.gov/HC65C2C/EBS/lettings/03032021final.pdf,"March 3, 2021",,2025-11-22T18:11:44.275703
SD,2021.0,https://apps.sd.gov/HC65C2C/EBS/lettings/02172021final.pdf,"February 17, 2021",,2025-11-22T18:11:44.275703
SD,2021.0,https://apps.sd.gov/HC65C2C/EBS/lettings/02032021final.pdf,"February 3, 2021",,2025-11-22T18:11:44.275703
SD,2021.0,https://apps.sd.gov/HC65C2C/EBS/lettings/01202021final.pdf,"January 20, 2021",,2025-11-22T18:11:44.275703
SD,2020.0,https://apps.sd.gov/HC65C2C/EBS/lettings/12092020final.pdf,"December 9, 2020",,2025-11-22T18:11:44.275703
SD,2020.0,https://apps.sd.gov/HC65C2C/EBS/lettings/12022020final.pdf,"December 2, 2020",,2025-11-22T18:11:44.275703
SD,2020.0,https://apps.sd.gov/HC65C2C/EBS/lettings/11182020final.pdf,"November 18, 2020",,2025-11-22T18:11:44.275703
SD,2020.0,https://apps.sd.gov/HC65C2C/EBS/lettings/11042020final.pdf,"November 4, 2020",,2025-11-22T18:11:44.275703
SD,2020.0,https://apps.sd.gov/HC65C2C/EBS/lettings/10212020final.pdf,"October 21, 2020",,2025-11-22T18:11:44.275703
SD,2020.0,https://apps.sd.gov/HC65C2C/EBS/lettings/10072020final.pdf,"October 7, 2020",,2025-11-22T18:11:44.275703
SD,2020.0,https://apps.sd.gov/HC65C2C/EBS/lettings/09162020final.pdf,"September 16, 2020",,2025-11-22T18:11:44.275703
SD,2020.0,https://apps.sd.gov/HC65C2C/EBS/lettings/09022020final.pdf,"September 2, 2020",,2025-11-22T18:11:44.275703
SD,2020.0,https://apps.sd.gov/HC65C2C/EBS/lettings/08192020final.pdf,"August 19, 2020",,2025-11-22T18:11:44.275703
SD,2020.0,https://apps.sd.gov/HC65C2C/EBS/lettings/08052020final.pdf,"August 5, 2020",,2025-11-22T18:11:44.275703
SD,2020.0,https://apps.sd.gov/HC65C2C/EBS/lettings/07152020final.pdf,"July 15, 2020",,2025-11-22T18:11:44.275703
SD,2020.0,https://apps.sd.gov/HC65C2C/EBS/lettings/06172020final.pdf,"June 17, 2020",,2025-11-22T18:11:44.275703
SD,2020.0,https://apps.sd.gov/HC65C2C/EBS/lettings/06032020final.pdf,"June 3, 2020",,2025-11-22T18:11:44.275703
SD,2020.0,https://apps.sd.gov/HC65C2C/EBS/lettings/05202020final.pdf,"May 20, 2020",,2025-11-22T18:11:44.275703
SD,2020.0,https://apps.sd.gov/HC65C2C/EBS/lettings/05132020final.pdf,"May 13, 2020",,2025-11-22T18:11:44.275703
SD,2020.0,https://apps.sd.gov/HC65C2C/EBS/lettings/05062020final.pdf,"May 6, 2020",,2025-11-22T18:11:44.275703
SD,2020.0,https://apps.sd.gov/HC65C2C/EBS/lettings/04152020final.pdf,"April 15, 2020",,2025-11-22T18:11:44.275703
SD,2020.0,https://apps.sd.gov/HC65C2C/EBS/lettings/04012020final.pdf,"April 1, 2020",,2025-11-22T18:11:44.275703
SD,2020.0,https://apps.sd.gov/HC65C2C/EBS/lettings/03252020final.pdf,"March 25, 2020",,2025-11-22T18:11:44.275703
SD,2020.0,https://apps.sd.gov/HC65C2C/EBS/lettings/03042020final.pdf,"March 4, 2020",,2025-11-22T18:11:44.275703
SD,2020.0,https://apps.sd.gov/HC65C2C/EBS/lettings/02192020final.pdf,"February 19, 2020",,2025-11-22T18:11:44.275703
SD,2020.0,https://apps.sd.gov/HC65C2C/EBS/lettings/02052020final.pdf,"February 5, 2020",,2025-11-22T18:11:44.275703
SD,2020.0,https://apps.sd.gov/HC65C2C/EBS/lettings/01222020final.pdf,"January 22, 2020",,2025-11-22T18:11:44.275703
SD,2019.0,https://apps.sd.gov/HC65C2C/EBS/lettings/12112019final.pdf,"December 11, 2019",,2025-11-22T18:11:44.275703
SD,2019.0,https://apps.sd.gov/HC65C2C/EBS/lettings/12042019final.pdf,"December 4, 2019",,2025-11-22T18:11:44.275703
