state,year,document_title,pdf_link
SD,2019.0,"May 3, 2019 University Class",https://apps.sd.gov/HC65C2C/EBS/lettings/05032019final.pdf
SD,2019.0,"May 1, 2019",https://apps.sd.gov/HC65C2C/EBS/lettings/05012019final.pdf
SD,2019.0,"April 17, 2019",https://apps.sd.gov/HC65C2C/EBS/lettings/04172019final.pdf
SD,2019.0,"April 10, 2019",https://apps.sd.gov/HC65C2C/EBS/lettings/04102019final.pdf
SD,2019.0,"April 3, 2019",https://apps.sd.gov/HC65C2C/EBS/lettings/04032019final.pdf
SD,2019.0,"March 27, 2019",https://apps.sd.gov/HC65C2C/EBS/lettings/03272019final.pdf
SD,2019.0,"March 20, 2019",https://apps.sd.gov/HC65C2C/EBS/lettings/03202019final.pdf
SD,2019.0,"March 6, 2019",https://apps.sd.gov/HC65C2C/EBS/lettings/03062019final.pdf
SD,2019.0,"February 20,2019",https://apps.sd.gov/HC65C2C/EBS/lettings/02202019final.pdf
SD,2019.0,"February 6, 2019",https://apps.sd.gov/HC65C2C/EBS/lettings/02062019final.pdf
SD,2019.0,"January 23, 2019",https://apps.sd.gov/HC65C2C/EBS/lettings/01232019final.pdf
SD,2019.0,"January 16, 2019",https://apps.sd.gov/HC65C2C/EBS/lettings/01162019final.pdf
SD,2018.0,"December 12, 2018",https://apps.sd.gov/HC65C2C/EBS/lettings/12122018final.pdf
SD,2018.0,"December 5, 2018",https://apps.sd.gov/HC65C2C/EBS/lettings/12052018final.pdf
SD,2018.0,"November 21, 2018",https://apps.sd.gov/HC65C2C/EBS/lettings/11212018final.pdf
SD,2018.0,"November 7, 2018",https://apps.sd.gov/HC65C2C/EBS/lettings/11072018final.pdf
SD,2018.0,"October 17, 2018",https://apps.sd.gov/HC65C2C/EBS/lettings/10172018final.pdf
SD,2018.0,"October 3, 2018",https://apps.sd.gov/HC65C2C/EBS/lettings/10032018final.pdf
SD,2018.0,"September 19, 2018",https://apps.sd.gov/HC65C2C/EBS/lettings/09192018final.pdf
SD,2018.0,"September 12, 2018",https://apps.sd.gov/HC65C2C/EBS/lettings/09122018final.pdf
SD,2018.0,"August 1, 2018",https://apps.sd.gov/HC65C2C/EBS/lettings/08012018final.pdf
SD,2018.0,"July 18, 2018",https://apps.sd.gov/HC65C2C/EBS/lettings/07182018final.pdf
SD,2018.0,"June 27, 2018",https://apps.sd.gov/HC65C2C/EBS/lettings/06272018final.pdf
SD,2018.0,"June 20, 2018",https://apps.sd.gov/HC65C2C/EBS/lettings/06202018final.pdf
SD,2018.0,"June 6, 2018",https://apps.sd.gov/HC65C2C/EBS/lettings/06062018final.pdf
SD,2018.0,"May 16, 2018",https://apps.sd.gov/HC65C2C/EBS/lettings/05162018final.pdf
SD,2018.0,"May 3, 2018 University Class",https://apps.sd.gov/HC65C2C/EBS/lettings/05032018final.pdf
SD,2018.0,"May 2, 2018",https://apps.sd.gov/HC65C2C/EBS/lettings/05022018final.pdf
SD,2018.0,"April 18, 2018",https://apps.sd.gov/HC65C2C/EBS/lettings/04182018final.pdf
SD,2018.0,"April 4, 2018",https://apps.sd.gov/HC65C2C/EBS/lettings/04042018final.pdf
SD,2018.0,"March 21, 2018",https://apps.sd.gov/HC65C2C/EBS/lettings/03212018final.pdf
SD,2018.0,"March 8, 2018",https://apps.sd.gov/HC65C2C/EBS/lettings/03082018final.pdf
SD,2018.0,"March 7, 2018",https://apps.sd.gov/HC65C2C/EBS/lettings/03072018final.pdf
SD,2018.0,"February 21, 2018",https://apps.sd.gov/HC65C2C/EBS/lettings/02212018final.pdf
SD,2018.0,"February 7, 2018",https://apps.sd.gov/HC65C2C/EBS/lettings/02072018final.pdf
SD,2018.0,"January 26, 2018",https://apps.sd.gov/HC65C2C/EBS/lettings/01262018final.pdf
SD,2018.0,"January 24, 2018",https://apps.sd.gov/HC65C2C/EBS/lettings/01242018final.pdf
SD,2017.0,"December 13, 2017",https://apps.sd.gov/HC65C2C/EBS/lettings/12132017final.pdf
SD,2017.0,"December 6, 2017",https://apps.sd.gov/HC65C2C/EBS/lettings/12062017final.pdf
SD,2017.0,"November 15, 2017",https://apps.sd.gov/HC65C2C/EBS/lettings/11152017final.pdf
SD,2017.0,"November 1, 2017",https://apps.sd.gov/HC65C2C/EBS/lettings/11012017final.pdf
SD,2017.0,"October 18, 2017",https://apps.sd.gov/HC65C2C/EBS/lettings/10182017final.pdf
SD,2017.0,"October 4, 2017",https://apps.sd.gov/HC65C2C/EBS/lettings/10042017final.pdf
SD,2017.0,"September 20, 2017",https://apps.sd.gov/HC65C2C/EBS/lettings/09202017final.pdf
SD,2017.0,"September 6, 2017",https://apps.sd.gov/HC65C2C/EBS/lettings/09062017final.pdf
SD,2017.0,"August 16, 2017",https://apps.sd.gov/HC65C2C/EBS/lettings/08162017final.pdf
SD,2017.0,"August 2, 2017",https://apps.sd.gov/HC65C2C/EBS/lettings/08022017final.pdf
SD,2017.0,"July 19, 2017",https://apps.sd.gov/HC65C2C/EBS/lettings/07192017final.pdf
SD,2017.0,"July 12, 2017",https://apps.sd.gov/HC65C2C/EBS/lettings/07122017final.pdf
SD,2017.0,"June 21, 2017",https://apps.sd.gov/HC65C2C/EBS/lettings/06212017final.pdf
SD,2017.0,"June 7, 2017",https://apps.sd.gov/HC65C2C/EBS/lettings/06072017final.pdf
SD,2017.0,"May 17, 2017",https://apps.sd.gov/HC65C2C/EBS/lettings/05172017final.pdf
SD,2017.0,"May 4, 2017 University Class",https://apps.sd.gov/HC65C2C/EBS/lettings/05042017final.pdf
SD,2017.0,"May 3, 2017",https://apps.sd.gov/HC65C2C/EBS/lettings/05032017final.pdf
SD,2017.0,"April 19, 2017",https://apps.sd.gov/HC65C2C/EBS/lettings/04192017final.pdf
SD,2017.0,"April 5, 2017",https://apps.sd.gov/HC65C2C/EBS/lettings/04052017final.pdf
SD,2017.0,"March 15, 2017",https://apps.sd.gov/HC65C2C/EBS/lettings/03152017final.pdf
SD,2017.0,"March 1, 2017",https://apps.sd.gov/HC65C2C/EBS/lettings/03012017final.pdf
SD,2017.0,"February 15, 2017",https://apps.sd.gov/HC65C2C/EBS/lettings/02152017final.pdf
SD,2017.0,"February 1, 2017",https://apps.sd.gov/HC65C2C/EBS/lettings/02012017final.pdf
SD,2017.0,"January 25, 2017",https://apps.sd.gov/HC65C2C/EBS/lettings/01252017final.pdf
