state,year,pdf_link,doc_name,doc_number,scraped_at,download_status,download_path,download_error,downloaded_at
MN,2025.0,https://edocs-public.dot.state.mn.us/edocs_public/DMResultSet/download?docId=39009352,Apparent Bid Results 11-19-2025,39009352.0,2025-11-22T17:45:59.361442,success,c:\Users\Richard\code\CSI_Proj\data\downloads\MN\MN_39009352.0.pdf,,2025-11-22T18:16:56.315342
SD,2025.0,https://apps.sd.gov/HC65C2C/EBS/lettings/09172025final.pdf,"September 17, 2025",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_September_17_2025.pdf,,2025-11-22T18:16:58.624682
SD,2025.0,https://apps.sd.gov/HC65C2C/EBS/lettings/09032025final.pdf,"September 3, 2025",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_September_3_2025.pdf,,2025-11-22T18:17:00.500101
SD,2025.0,https://apps.sd.gov/HC65C2C/EBS/lettings/08272025final.pdf,"August 27, 2025",,2025-11-22T18:11:44.275703,failed,,404 Client Error: Not Found for url: https://apps.sd.gov/HC65C2C/EBS/lettings/08272025final.pdf,2025-11-22T18:17:06.880944
SD,2025.0,https://apps.sd.gov/HC65C2C/EBS/lettings/08262025final.pdf,"August 26, 2025",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_August_26_2025.pdf,,2025-11-22T18:17:08.894861
SD,2025.0,https://apps.sd.gov/HC65C2C/EBS/lettings/08062025final.pdf,"August 6, 2025",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_August_6_2025.pdf,,2025-11-22T18:17:10.927074
SD,2025.0,https://apps.sd.gov/HC65C2C/EBS/lettings/07162025final.pdf,"July 16, 2025",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_July_16_2025.pdf,,2025-11-22T18:17:12.768899
SD,2025.0,https://apps.sd.gov/HC65C2C/EBS/lettings/07022025final.pdf,"July 2, 2025",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_July_2_2025.pdf,,2025-11-22T18:17:14.694877
SD,2025.0,https://apps.sd.gov/HC65C2C/EBS/lettings/06042025final.pdf,"June 4, 2025",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_June_4_2025.pdf,,2025-11-22T18:17:16.599442
SD,2025.0,https://apps.sd.gov/HC65C2C/EBS/lettings/05212025final.pdf,"May 21, 2025",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_May_21_2025.pdf,,2025-11-22T18:17:18.667111
SD,2025.0,https://apps.sd.gov/HC65C2C/EBS/lettings/05072025final.pdf,"May 7, 2025",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_May_7_2025.pdf,,2025-11-22T18:17:20.619005
SD,2025.0,https://apps.sd.gov/HC65C2C/EBS/lettings/04162025final.pdf,"April 16, 2025",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_April_16_2025.pdf,,2025-11-22T18:17:22.599044
SD,2025.0,https://apps.sd.gov/HC65C2C/EBS/lettings/04022025final.pdf,"April 2, 2025",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_April_2_2025.pdf,,2025-11-22T18:17:24.836747
SD,2025.0,https://apps.sd.gov/HC65C2C/EBS/lettings/03262025final.pdf,"March 26, 2025",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_March_26_2025.pdf,,2025-11-22T18:17:26.621603
SD,2025.0,https://apps.sd.gov/HC65C2C/EBS/lettings/03192025final.pdf,"March 19, 2025",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_March_19_2025.pdf,,2025-11-22T18:17:28.431730
SD,2025.0,https://apps.sd.gov/HC65C2C/EBS/lettings/03122025final.pdf,"March 12, 2025",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_March_12_2025.pdf,,2025-11-22T18:17:30.262707
SD,2025.0,https://apps.sd.gov/HC65C2C/EBS/lettings/03052025final.pdf,"March 5, 2025",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_March_5_2025.pdf,,2025-11-22T18:17:32.235858
SD,2025.0,https://apps.sd.gov/HC65C2C/EBS/lettings/02192025final.pdf,"February 19, 2025",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_February_19_2025.pdf,,2025-11-22T18:17:34.149444
SD,2025.0,https://apps.sd.gov/HC65C2C/EBS/lettings/02122025final.pdf,"February 12, 2025",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_February_12_2025.pdf,,2025-11-22T18:17:35.922550
SD,2025.0,https://apps.sd.gov/HC65C2C/EBS/lettings/02052025final.pdf,"February 5, 2025",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_February_5_2025.pdf,,2025-11-22T18:17:37.738554
SD,2025.0,https://apps.sd.gov/HC65C2C/EBS/lettings/01222025final.pdf,"January 22, 2025",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_January_22_2025.pdf,,2025-11-22T18:17:39.643257
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/12112024final.pdf,"December 11, 2024",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_December_11_2024.pdf,,2025-11-22T18:17:41.426914
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/12042024final.pdf,"December 4, 2024",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_December_4_2024.pdf,,2025-11-22T18:17:43.443644
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/11202024final.pdf,"November 20, 2024",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_November_20_2024.pdf,,2025-11-22T18:17:45.320285
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/11062024final.pdf,"November 6, 2024",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_November_6_2024.pdf,,2025-11-22T18:17:47.251838
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/10162024final.pdf,"October 16, 2024",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_October_16_2024.pdf,,2025-11-22T18:17:49.062275
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/10022024final.pdf,"October 2, 2024",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_October_2_2024.pdf,,2025-11-22T18:17:50.890633
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/09182024final.pdf,"September 18, 2024",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_September_18_2024.pdf,,2025-11-22T18:17:52.685427
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/09042024final.pdf,"September 4, 2024",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_September_4_2024.pdf,,2025-11-22T18:17:54.615324
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/08212024final.pdf,"August 21, 2024",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_August_21_2024.pdf,,2025-11-22T18:17:56.487635
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/08072024final.pdf,"August 7, 2024",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_August_7_2024.pdf,,2025-11-22T18:17:58.446139
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/07172024final.pdf,"July 17, 2024",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_July_17_2024.pdf,,2025-11-22T18:18:00.285916
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/06262024final.pdf,"June 26, 2024",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_June_26_2024.pdf,,2025-11-22T18:18:02.184803
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/06052024final.pdf,"June 5, 2024",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_June_5_2024.pdf,,2025-11-22T18:18:04.140165
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/05152024final.pdf,"May 15, 2024",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_May_15_2024.pdf,,2025-11-22T18:18:06.006895
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/05012024final.pdf,"May 1, 2024",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_May_1_2024.pdf,,2025-11-22T18:18:07.893129
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/04172024final.pdf,"April 17, 2024",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_April_17_2024.pdf,,2025-11-22T18:18:09.791028
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/04042024final.pdf,"April 4, 2024",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_April_4_2024.pdf,,2025-11-22T18:18:11.696064
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/03202024final.pdf,"March 20, 2024",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_March_20_2024.pdf,,2025-11-22T18:18:13.549409
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/03062024final.pdf,"March 6, 2024",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_March_6_2024.pdf,,2025-11-22T18:18:15.413318
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/02272024final.pdf,"Februrary 27, 2024",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_Februrary_27_2024.pdf,,2025-11-22T18:18:17.330429
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/02212024final.pdf,"February 21, 2024",,2025-11-22T18:11:44.275703,failed,,404 Client Error: Not Found for url: https://apps.sd.gov/HC65C2C/EBS/lettings/02212024final.pdf,2025-11-22T18:18:23.555403
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/02072024final.pdf,"February 7, 2024",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_February_7_2024.pdf,,2025-11-22T18:18:25.440392
SD,2024.0,https://apps.sd.gov/HC65C2C/EBS/lettings/01172024final.pdf,"January 17, 2024",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_January_17_2024.pdf,,2025-11-22T18:18:27.375407
SD,2023.0,https://apps.sd.gov/HC65C2C/EBS/lettings/12132023final.pdf,"December 13, 2023",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_December_13_2023.pdf,,2025-11-22T18:18:29.234421
SD,2023.0,https://apps.sd.gov/HC65C2C/EBS/lettings/12062023final.pdf,"December 6, 2023",,2025-11-22T18:11:44.275703,success,c:\Users\Richard\code\CSI_Proj\data\downloads\SD\SD_December_6_2023.pdf,,2025-11-22T18:18:31.225204
